"","CDU","DIAGNOSTICS","MAJORS","OTF","Other","RAT","RESUS","TAF","UTC","Waiting","Admitted","Discharged"
"CDU",0,0,80,7,0,2,2,1,9,1,80,1445
"DIAGNOSTICS",0,0,1378,16,1,94,105,10,517,13387,3,205
"MAJORS",186,132,0,11963,8,719,920,1492,448,639,1657,18078
"OTF",1281,12,381,0,2,15,54,3,78,40,13411,2387
"Other",0,1,4,8,0,1,3,0,14,8,0,26
"RAT",3,72,19289,256,4,0,1230,229,2398,2425,56,1187
"RESUS",2,6,2655,2651,0,110,0,17,39,47,428,854
"TAF",0,14,129,7,0,14,3,0,7,8,2,1722
"UTC",41,87,488,1585,3,119,54,8,0,1177,212,10710
"Waiting",111,15383,11767,1155,47,25788,4376,145,10960,0,138,56106
