"";"from";"to";"edge";"weight_mean";"weight_lQ";"weight_uQ";"pct_disc_mean";"pct_disc_lQ";"pct_disc_uQ";"pct_breach_mean";"pct_breach_lQ";"pct_breach_uQ"
"1";"Arrival";"TRIAGE";"Arrival~TRIAGE";205,716666666667;172,75;244,75;0,912828944436111;0,88466810966811;0,944185645272602;0,161706308626534;0,0980848861283644;0,201009845998485
"2";"TRIAGE";"Discharged";"TRIAGE~Discharged";135,716666666667;104,75;171,5;0,999592731829574;1;1;0,0753625232462346;0,0224638584247258;0,105699855699856
"3";"Arrival";"RAT";"Arrival~RAT";99,7;81,75;112,25;0,674457690087252;0,632183908045977;0,716350123864575;0,415663891861765;0,367841521717018;0,482061177815895
"4";"RAT";"MAJORS";"RAT~MAJORS";96,65;90;105;0,6181817619366;0,575623453264801;0,657966457023061;0,518325843499314;0,454242296327564;0,591794230969489
"5";"MAJORS";"Discharged";"MAJORS~Discharged";61,9166666666667;56,75;68;0,997090775872066;1;1;0,374292165828497;0,286760641238253;0,449375
"6";"UTC";"Discharged";"UTC~Discharged";57,9833333333333;30;50,5;0,999900299102692;1;1;0,158748293267037;0,0900360144057623;0,213541666666667
"7";"TRIAGE";"UTC";"TRIAGE~UTC";44,9166666666667;15,75;35,75;0,830742515616452;0,787757437070938;0,90971873430437;0,318266143314029;0,186079545454545;0,461538461538462
"8";"MAJORS";"Admitted";"MAJORS~Admitted";43,15;39;49,25;0;0;0;0,702516589970349;0,635714285714286;0,80424126172208
"9";"TRIAGE";"RAT";"TRIAGE~RAT";33,9;15,75;49;0,710600414390588;0,652295918367347;0,777777777777778;0,450617540324713;0,347727272727273;0,555357142857143
"10";"RAT";"UTC";"RAT~UTC";15,25;9,75;18;0,900536634728456;0,85;1;0,178836591661024;0,113235294117647;0,25
"11";"RAT";"TRIAGE";"RAT~TRIAGE";14,1833333333333;9,75;17;0,901556423032704;0,857142857142857;1;0,223336091858381;0,111111111111111;0,317708333333333
"12";"Arrival";"RESUS";"Arrival~RESUS";11,3333333333333;9;13,25;0,279452680174429;0,181818181818182;0,358455882352941;0,454692551672041;0,333333333333333;0,5875
"13";"OTF";"Admitted";"OTF~Admitted";11;11;11;0;0;0;0;0;0
"14";"Arrival";"UTC";"Arrival~UTC";10,0508474576271;4;12;0,919971376055569;0,873397435897436;1;0,0680368483865601;0;0,111111111111111
"15";"RESUS";"Admitted";"RESUS~Admitted";9,35;8;11;0;0;0;0,537176457801458;0,4;0,666666666666667
