"from";"to";"edge";"weight_mean";"weight_lQ";"weight_uQ";"pct_disc_mean";"pct_disc_lQ";"pct_disc_uQ";"pct_breach_mean";"pct_breach_lQ";"pct_breach_uQ"
"RAT";"MAJORS";"RAT~MAJORS";50,2666666666667;44,25;60,25;0,463886169276346;0,399056603773585;0,528812056737589;1;1;1
"Arrival";"RAT";"Arrival~RAT";41,1333333333333;32;51;0,464790777998991;0,406650641025641;0,546590909090909;1;1;1
"Arrival";"TRIAGE";"Arrival~TRIAGE";35,5833333333333;17,75;49;0,635514582477223;0,539087301587302;0,726545698924731;1;1;1
"MAJORS";"Admitted";"MAJORS~Admitted";31,7118644067797;24;38;0;0;0;1;1;1
"MAJORS";"Discharged";"MAJORS~Discharged";23,7627118644068;17,5;28;0,992939117605547;1;1;1;1;1
"TRIAGE";"RAT";"TRIAGE~RAT";15,4067796610169;7;22,5;0,538229658610639;0,411764705882353;0,654211956521739;1;1;1
"TRIAGE";"UTC";"TRIAGE~UTC";11,1;5;12,25;0,598230355628252;0,5;0,75;1;1;1
"UTC";"Discharged";"UTC~Discharged";9,75438596491228;4;12;1;1;1;1;1;1
"TRIAGE";"Discharged";"TRIAGE~Discharged";9,3448275862069;3,25;13;0,992926613616269;1;1;1;1;1
"RESUS";"MAJORS";"RESUS~MAJORS";5,94642857142857;4;7,25;0,253026437847866;0,0848484848484848;0,4;1;1;1
"Arrival";"RESUS";"Arrival~RESUS";5,37931034482759;4;7;0,176923794596208;0;0,321428571428571;1;1;1
"RESUS";"Admitted";"RESUS~Admitted";5,20689655172414;4;7;0;0;0;1;1;1
"TAF";"Discharged";"TAF~Discharged";4,12068965517241;3;5;0,996551724137931;1;1;1;1;1
"UTC";"Admitted";"UTC~Admitted";4;2;5,25;0;0;0;1;1;1
"MAJORS";"TAF";"MAJORS~TAF";3,92727272727273;3;5;0,962662337662338;1;1;1;1;1
"RAT";"TRIAGE";"RAT~TRIAGE";3,80769230769231;2;5;0,73410964035964;0,5;1;1;1;1
"RAT";"UTC";"RAT~UTC";3,5;2;4,75;0,727116883116883;0,525;1;1;1;1
"TRIAGE";"MAJORS";"TRIAGE~MAJORS";3,2156862745098;2;4;0,648062558356676;0,5;1;1;1;1
"RAT";"RESUS";"RAT~RESUS";3,12727272727273;2;4;0,160649350649351;0;0,333333333333333;1;1;1
"Arrival";"UTC";"Arrival~UTC";2,47826086956522;1;3;0,579710144927536;0;1;1;1;1
"MAJORS";"RAT";"MAJORS~RAT";2,45454545454545;1;3,25;0,516666666666667;0,25;1;1;1;1
"MAJORS";"RESUS";"MAJORS~RESUS";2,40740740740741;1;3;0,118518518518519;0;0;1;1;1
"Arrival";"MAJORS";"Arrival~MAJORS";2,30232558139535;1;3;0,606330749354005;0,166666666666667;1;1;1;1
"UTC";"MAJORS";"UTC~MAJORS";2,18181818181818;1;3;0,538383838383838;0;1;1;1;1
"UTC";"TRIAGE";"UTC~TRIAGE";2;1;2;0,642753623188406;0,166666666666667;1;1;1;1
"TRIAGE";"Admitted";"TRIAGE~Admitted";1,77777777777778;1;2,25;0;0;0;1;1;1
"RAT";"TAF";"RAT~TAF";1,60714285714286;1;2;1;1;1;1;1;1
"TRIAGE";"RESUS";"TRIAGE~RESUS";1,59375;1;2;0,354166666666667;0;0,5;1;1;1
"RAT";"Admitted";"RAT~Admitted";1,5;1;2;0;0;0;1;1;1
"RESUS";"TRIAGE";"RESUS~TRIAGE";1,5;1,25;1,75;1;1;1;1;1;1
"MAJORS";"UTC";"MAJORS~UTC";1,39130434782609;1;1;0,634057971014493;0;1;1;1;1
"MAJORS";"TRIAGE";"MAJORS~TRIAGE";1,375;1;2;0,8125;0,5;1;1;1;1
"RAT";"Discharged";"RAT~Discharged";1,3;1;1;1;1;1;1;1;1
"RESUS";"RAT";"RESUS~RAT";1,3;1;1;0,4;0;1;1;1;1
"UTC";"RESUS";"UTC~RESUS";1,28571428571429;1;1,5;0,428571428571429;0;1;1;1;1
"UTC";"RAT";"UTC~RAT";1,21052631578947;1;1;0,710526315789474;0,25;1;1;1;1
"RESUS";"Discharged";"RESUS~Discharged";1,13793103448276;1;1;1;1;1;1;1;1
"TAF";"MAJORS";"TAF~MAJORS";1,05555555555556;1;1;0,722222222222222;0,25;1;1;1;1
"Arrival";"Discharged";"Arrival~Discharged";1;1;1;1;1;1;1;1;1
"Arrival";"TAF";"Arrival~TAF";1;1;1;0,666666666666667;0,5;1;1;1;1
"RESUS";"TAF";"RESUS~TAF";1;1;1;1;1;1;1;1;1
"RESUS";"UTC";"RESUS~UTC";1;1;1;1;1;1;1;1;1
"TAF";"Admitted";"TAF~Admitted";1;1;1;0;0;0;1;1;1
"TAF";"RAT";"TAF~RAT";1;1;1;0,833333333333333;1;1;1;1;1
"TAF";"RESUS";"TAF~RESUS";1;1;1;1;1;1;1;1;1
"TAF";"TRIAGE";"TAF~TRIAGE";1;1;1;1;1;1;1;1;1
"TRIAGE";"TAF";"TRIAGE~TAF";1;1;1;1;1;1;1;1;1
"UTC";"TAF";"UTC~TAF";1;1;1;1;1;1;1;1;1
