"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"RAT","MAJORS","RAT~MAJORS",48.95,44.25,59,0.472855980129821,0.405117883841288,0.533808933002481,1,1,1
"Waiting","RAT","Waiting~RAT",40.5666666666667,30.75,51,0.470056071473518,0.416666666666667,0.546590909090909,1,1,1
"Waiting","TRIAGE","Waiting~TRIAGE",34.7833333333333,17.75,49,0.648496079917797,0.571428571428571,0.737816764132553,1,1,1
"MAJORS","Admitted","MAJORS~Admitted",29.7627118644068,25,35,0.00178907721280603,0,0,1,1,1
"MAJORS","Discharged","MAJORS~Discharged",22.9661016949153,16.5,27,0.999293785310734,1,1,1,1,1
"TRIAGE","RAT","TRIAGE~RAT",14.9491525423729,7,21,0.547888381900349,0.434285714285714,0.666666666666667,1,1,1
"TRIAGE","UTC","TRIAGE~UTC",10.864406779661,5,12,0.624580571507261,0.5,0.775,1,1,1
"UTC","Discharged","UTC~Discharged",9.52631578947368,4,11,1,1,1,1,1,1
"TRIAGE","Discharged","TRIAGE~Discharged",9.05172413793103,3.25,12,1,1,1,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",5.83928571428571,4,7,0.247839363017934,0.0848484848484848,0.38125,1,1,1
"Waiting","RESUS","Waiting~RESUS",5.36206896551724,4,7,0.174304000597104,0,0.285714285714286,1,1,1
"RESUS","Admitted","RESUS~Admitted",4.98275862068965,3.25,6,0,0,0,1,1,1
"TAF","Discharged","TAF~Discharged",4.08620689655172,3,5,1,1,1,1,1,1
"MAJORS","TAF","MAJORS~TAF",3.92727272727273,3,5,0.962662337662338,1,1,1,1,1
"RAT","TRIAGE","RAT~TRIAGE",3.76923076923077,2,5,0.738917332667333,0.575,1,1,1,1
"UTC","Admitted","UTC~Admitted",3.73684210526316,2,5,0,0,0,1,1,1
"RAT","UTC","RAT~UTC",3.5,2,4.75,0.727116883116883,0.525,1,1,1,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",3.19607843137255,2,4,0.654598506069094,0.5,1,1,1,1
"RAT","RESUS","RAT~RESUS",3.03636363636364,2,4,0.157012987012987,0,0.333333333333333,1,1,1
"Waiting","UTC","Waiting~UTC",2.52380952380952,1,3,0.634920634920635,0.5,1,1,1,1
"MAJORS","RAT","MAJORS~RAT",2.38636363636364,1,3,0.520833333333333,0.1875,1,1,1,1
"MAJORS","RESUS","MAJORS~RESUS",2.2962962962963,1,3,0.107098765432099,0,0,1,1,1
"Waiting","MAJORS","Waiting~MAJORS",2.21428571428571,1,3,0.636640211640212,0.333333333333333,1,1,1,1
"OTF","Discharged","OTF~Discharged",2.13793103448276,1,2,1,1,1,1,1,1
"UTC","TRIAGE","UTC~TRIAGE",2.0952380952381,1,2,0.656349206349206,0.333333333333333,1,1,1,1
"UTC","MAJORS","UTC~MAJORS",2.0625,1,3,0.573958333333333,0.15,1,1,1,1
"TRIAGE","Admitted","TRIAGE~Admitted",1.67567567567568,1,2,0.00540540540540541,0,0,1,1,1
"RAT","TAF","RAT~TAF",1.60714285714286,1,2,1,1,1,1,1,1
"TRIAGE","RESUS","TRIAGE~RESUS",1.59375,1,2,0.354166666666667,0,0.5,1,1,1
"TRIAGE","OTF","TRIAGE~OTF",1.54545454545455,1,1,0.909090909090909,1,1,1,1,1
"MAJORS","OTF","MAJORS~OTF",1.5,1,2,0.848958333333333,1,1,1,1,1
"RESUS","TRIAGE","RESUS~TRIAGE",1.5,1.25,1.75,1,1,1,1,1,1
"RAT","Discharged","RAT~Discharged",1.33333333333333,1,1,1,1,1,1,1,1
"MAJORS","UTC","MAJORS~UTC",1.31818181818182,1,1,0.693181818181818,0.125,1,1,1,1
"RESUS","RAT","RESUS~RAT",1.3,1,1,0.4,0,1,1,1,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",1.25,1,1.25,0.875,0.875,1,1,1,1
"UTC","OTF","UTC~OTF",1.23076923076923,1,1,0.923076923076923,1,1,1,1,1
"UTC","RAT","UTC~RAT",1.21052631578947,1,1,0.710526315789474,0.25,1,1,1,1
"RESUS","Discharged","RESUS~Discharged",1.10344827586207,1,1,1,1,1,1,1,1
"OTF","MAJORS","OTF~MAJORS",1.06666666666667,1,1,0.533333333333333,0,1,1,1,1
"TAF","MAJORS","TAF~MAJORS",1.05555555555556,1,1,0.722222222222222,0.25,1,1,1,1
"OTF","RESUS","OTF~RESUS",1,1,1,0,0,0,1,1,1
"OTF","TRIAGE","OTF~TRIAGE",1,1,1,1,1,1,1,1,1
"OTF","UTC","OTF~UTC",1,1,1,0.5,0.25,0.75,1,1,1
"RAT","Admitted","RAT~Admitted",1,1,1,0.2,0,0,1,1,1
"RAT","OTF","RAT~OTF",1,1,1,1,1,1,1,1,1
"RESUS","OTF","RESUS~OTF",1,1,1,0,0,0,1,1,1
"RESUS","TAF","RESUS~TAF",1,1,1,1,1,1,1,1,1
"RESUS","UTC","RESUS~UTC",1,1,1,1,1,1,1,1,1
"RESUS","Waiting","RESUS~Waiting",1,1,1,0,0,0,1,1,1
"TAF","Admitted","TAF~Admitted",1,1,1,0,0,0,1,1,1
"TAF","OTF","TAF~OTF",1,1,1,1,1,1,1,1,1
"TAF","RAT","TAF~RAT",1,1,1,0.833333333333333,1,1,1,1,1
"TAF","RESUS","TAF~RESUS",1,1,1,1,1,1,1,1,1
"TAF","TRIAGE","TAF~TRIAGE",1,1,1,1,1,1,1,1,1
"TRIAGE","TAF","TRIAGE~TAF",1,1,1,1,1,1,1,1,1
"UTC","RESUS","UTC~RESUS",1,1,1,0.6,0,1,1,1,1
"UTC","TAF","UTC~TAF",1,1,1,1,1,1,1,1,1
"Waiting","OTF","Waiting~OTF",1,1,1,1,1,1,1,1,1
"Waiting","TAF","Waiting~TAF",1,1,1,0.666666666666667,0.5,1,1,1,1
