"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Arrived","Waiting","Arrived~Waiting",123.666666666667,116.25,158,0.766249250495826,0.693462401795735,0.788271604938272,0.136991169943986,0.117579908675799,0.168518518518519
"RAT","MAJORS","RAT~MAJORS",72.5,72,86.25,0.556761190194769,0.497334326989223,0.624366197183099,0.288677618039802,0.235440734293401,0.308877551020408
"Waiting","TRIAGE","Waiting~TRIAGE",68,62.5,88.75,0.852893658878379,0.765131578947368,0.935637480798771,0.0805811571940604,0.0465437788018433,0.0796052631578947
"TRIAGE","Discharged","TRIAGE~Discharged",60.5,57.25,69.25,1,1,1,0,0,0
"MAJORS","OTF","MAJORS~OTF",55.6666666666667,52.5,62.5,0,0,0,0.395861827614701,0.366477272727273,0.400383141762452
"OTF","Admitted","OTF~Admitted",54.6666666666667,54.5,68,0,0,0,0.428078024852218,0.408892763731473,0.482142857142857
"MAJORS","Discharged","MAJORS~Discharged",46.8333333333333,41.75,51,1,1,1,0.122296217889419,0.0940635451505017,0.141702127659574
"Arrived","RAT","Arrived~RAT",40.6666666666667,32.25,44.75,0.581723484848485,0.455492424242424,0.680729166666667,0.280197811447811,0.196180555555556,0.325757575757576
"Waiting","RAT","Waiting~RAT",36.3333333333333,39.25,41.5,0.700608690826082,0.603571428571429,0.783653846153846,0.213492727079684,0.163782051282051,0.288392857142857
"Arrived","TRIAGE","Arrived~TRIAGE",34.6666666666667,23.75,46.25,0.868231523378582,0.824038461538462,0.909926470588235,0.0427978883861237,0,0.0674019607843137
"TRIAGE","RAT","TRIAGE~RAT",23,15.25,28.5,0.721406371406371,0.641666666666667,0.813636363636364,0.121008158508159,0.0568910256410256,0.195454545454545
"UTC","Discharged","UTC~Discharged",22,16.5,26.75,1,1,1,0.052744708994709,0,0.0989583333333333
"TRIAGE","UTC","TRIAGE~UTC",19.8333333333333,11.75,26,0.875427670779995,0.77136431784108,1,0.136004113327951,0.0108695652173913,0.22198275862069
"Arrived","MAJORS","Arrived~MAJORS",17.1666666666667,15.25,19.25,0.219805048456164,0.210344827586207,0.283088235294118,0.247299695740365,0.194852941176471,0.328125
"OTF","Discharged","OTF~Discharged",15.6666666666667,5,19,0,0,0,0.416071428571429,0.31875,0.553571428571429
"RAT","Discharged","RAT~Discharged",13.6666666666667,11.5,14.5,1,1,1,0,0,0
"Waiting","MAJORS","Waiting~MAJORS",11.1666666666667,10.5,15,0.434027777777778,0.265625,0.46875,0.278472222222222,0.166666666666667,0.39375
"RESUS","OTF","RESUS~OTF",10,8,13,0,0,0,0.570899470899471,0.5,0.685714285714286
"RAT","TRIAGE","RAT~TRIAGE",9.6,5,10,0.981818181818182,1,1,0,0,0
"TRIAGE","MAJORS","TRIAGE~MAJORS",7.5,5.75,9.75,0.461111111111111,0.333333333333333,0.475,0.234259259259259,0.205555555555556,0.3125
"Waiting","Discharged","Waiting~Discharged",7,7,7,1,1,1,0,0,0
"Waiting","UTC","Waiting~UTC",7,4.5,9,1,1,1,0,0,0
"UTC","OTF","UTC~OTF",6,5,7,0,0,0,0.527777777777778,0.416666666666667,0.625
"RAT","RESUS","RAT~RESUS",5,4.25,5.75,0.1625,0.15,0.2125,0.325,0.3,0.425
"RAT","UTC","RAT~UTC",4,2.5,4,0.712962962962963,0.569444444444444,1,0.328703703703704,0.0555555555555556,0.4375
"Arrived","RESUS","Arrived~RESUS",3.8,2,4,0.588888888888889,0.333333333333333,1,0.0444444444444444,0,0
"Waiting","RESUS","Waiting~RESUS",3.6,2,4,0.442857142857143,0,0.714285714285714,0.2,0,0
"MAJORS","RAT","MAJORS~RAT",3.5,1.75,5.25,0.583333333333333,0.25,1,0.133333333333333,0,0.233333333333333
"MAJORS","RESUS","MAJORS~RESUS",3.5,2.25,3.75,0.134920634920635,0,0.285714285714286,0.849206349206349,0.75,1
"RESUS","Discharged","RESUS~Discharged",3.5,2,5.25,1,1,1,0.25,0,0.375
"RAT","OTF","RAT~OTF",2.66666666666667,2,3,0,0,0,0,0,0
"MAJORS","TAF","MAJORS~TAF",2.6,1,3,1,1,1,0.373333333333333,0.2,0.333333333333333
"Arrived","UTC","Arrived~UTC",2.5,1.75,3.25,1,1,1,0.125,0.0625,0.1875
"UTC","TRIAGE","UTC~TRIAGE",2.2,2,3,1,1,1,0.0666666666666667,0,0
"MAJORS","Admitted","MAJORS~Admitted",2,1,2,0,0,0,0.3,0,0.5
"MAJORS","TRIAGE","MAJORS~TRIAGE",2,2,2,0,0,0,1,1,1
"TAF","Discharged","TAF~Discharged",2,1,2.75,1,1,1,0.375,0,0.8125
"TRIAGE","OTF","TRIAGE~OTF",2,2,2,0,0,0,0,0,0
"UTC","RESUS","UTC~RESUS",2,2,2,0,0,0,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",1.83333333333333,1,1.75,0.766666666666667,0.7,1,0.166666666666667,0,0
"MAJORS","UTC","MAJORS~UTC",1.66666666666667,1.5,2,1,1,1,0,0,0
"TRIAGE","RESUS","TRIAGE~RESUS",1.66666666666667,1.25,2,0.666666666666667,0.25,1,0.166666666666667,0,0
"UTC","MAJORS","UTC~MAJORS",1.6,1,2,0.666666666666667,0.333333333333333,1,0.533333333333333,0,1
"UTC","RAT","UTC~RAT",1.5,1.25,1.75,0.5,0.25,0.75,1,1,1
"Waiting","Arrived","Waiting~Arrived",1.5,1.25,1.75,1,1,1,0,0,0
"RAT","TAF","RAT~TAF",1,1,1,1,1,1,1,1,1
"TAF","MAJORS","TAF~MAJORS",1,1,1,1,1,1,0,0,0
