"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"MAJORS","OTF","MAJORS~OTF",23.3333333333333,14.5,23.5,0,0,0,1,1,1
"Arrived","Waiting","Arrived~Waiting",22.8,20,27,0.214232804232804,0.142857142857143,0.285714285714286,1,1,1
"OTF","Admitted","OTF~Admitted",22.3333333333333,14,30,0,0,0,1,1,1
"RAT","MAJORS","RAT~MAJORS",21.5,19.25,26.25,0.240604097389443,0.162538699690402,0.244444444444444,1,1,1
"Arrived","RAT","Arrived~RAT",11.3333333333333,7,14.5,0.146153846153846,0,0.169230769230769,1,1,1
"Waiting","RAT","Waiting~RAT",10.8,8,13,0.270940170940171,0.111111111111111,0.333333333333333,1,1,1
"OTF","Discharged","OTF~Discharged",8.8,6,6,0,0,0,1,1,1
"Waiting","TRIAGE","Waiting~TRIAGE",7,4,8,0.307142857142857,0.25,0.5,1,1,1
"MAJORS","Discharged","MAJORS~Discharged",5.66666666666667,3.75,6.75,1,1,1,1,1,1
"RESUS","OTF","RESUS~OTF",4.66666666666667,2.5,5.5,0,0,0,1,1,1
"Waiting","MAJORS","Waiting~MAJORS",4.6,2,6,0.0444444444444444,0,0,1,1,1
"Arrived","MAJORS","Arrived~MAJORS",4.33333333333333,2.25,5,0.288888888888889,0.05,0.3,1,1,1
"TRIAGE","UTC","TRIAGE~UTC",4.25,1.75,5.5,0.55,0.15,1,1,1,1
"TRIAGE","RAT","TRIAGE~RAT",3.4,2,4,0.416666666666667,0.25,0.5,1,1,1
"Arrived","TRIAGE","Arrived~TRIAGE",3.33333333333333,2.5,4.5,0.4,0.1,0.6,1,1,1
"UTC","OTF","UTC~OTF",3.33333333333333,2,4,0,0,0,1,1,1
"MAJORS","RESUS","MAJORS~RESUS",2.66666666666667,2,3,0.111111111111111,0,0.25,1,1,1
"RAT","RESUS","RAT~RESUS",2.66666666666667,2,3,0,0,0,1,1,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",2.4,2,2,0.1,0,0,1,1,1
"Arrived","RESUS","Arrived~RESUS",2,2,2,0,0,0,1,1,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",2,2,2,0,0,0,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",2,2,2,0,0,0,1,1,1
"TRIAGE","RESUS","TRIAGE~RESUS",2,2,2,0,0,0,1,1,1
"UTC","RESUS","UTC~RESUS",2,2,2,0,0,0,1,1,1
"Waiting","RESUS","Waiting~RESUS",2,2,2,0,0,0,1,1,1
"RAT","UTC","RAT~UTC",1.75,1.75,2,0.25,0,0.25,1,1,1
"TAF","Discharged","TAF~Discharged",1.66666666666667,1,2,1,1,1,1,1,1
"UTC","MAJORS","UTC~MAJORS",1.66666666666667,1.5,2,0.333333333333333,0,0.5,1,1,1
"MAJORS","RAT","MAJORS~RAT",1.5,1.25,1.75,0.5,0.25,0.75,1,1,1
"UTC","RAT","UTC~RAT",1.5,1.25,1.75,0.5,0.25,0.75,1,1,1
"UTC","Discharged","UTC~Discharged",1.33333333333333,1,1.5,1,1,1,1,1,1
"Arrived","UTC","Arrived~UTC",1,1,1,1,1,1,1,1,1
"MAJORS","Admitted","MAJORS~Admitted",1,1,1,0,0,0,1,1,1
"MAJORS","TAF","MAJORS~TAF",1,1,1,1,1,1,1,1,1
"RAT","TAF","RAT~TAF",1,1,1,1,1,1,1,1,1
"RESUS","Discharged","RESUS~Discharged",1,1,1,1,1,1,1,1,1
"UTC","TRIAGE","UTC~TRIAGE",1,1,1,1,1,1,1,1,1
