"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Arrived","Meas post arrival","Arrived~Meas post arrival",144.857142857143,142,187.5,0.730789350605019,0.696969696969697,0.741935483870968,0.156762157453402,0.134408602150538,0.183673469387755
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",78.4285714285714,71,101.5,0.839959625601525,0.803418803418803,0.886792452830189,0.0804005844463352,0.0512820512820513,0.0721649484536082
"RAT","MAJORS","RAT~MAJORS",68,67.25,80.75,0.526446761567056,0.479591836734694,0.577464788732394,0.304746474981096,0.267605633802817,0.32
"TRIAGE","Discharged","TRIAGE~Discharged",57.875,56.5,67.25,1,1,1,0,0,0
"MAJORS","Admitted","MAJORS~Admitted",51.75,39.75,62.75,0,0,0,0.408743378126213,0.367647058823529,0.409836065573771
"MAJORS","Discharged","MAJORS~Discharged",46.25,45.25,53,1,1,1,0.122755461467302,0.0869565217391304,0.148936170212766
"Meas post arrival","RAT","Meas post arrival~RAT",45.2857142857143,43,59,0.663513223063265,0.644444444444444,0.708333333333333,0.281941407345108,0.224137931034483,0.333333333333333
"Arrived","RAT","Arrived~RAT",34.25,24.75,46.25,0.484393998541038,0.415094339622642,0.551724137931034,0.262744583111532,0.150943396226415,0.318181818181818
"Arrived","TRIAGE","Arrived~TRIAGE",25.875,10,26.75,0.885541125541126,0.80952380952381,1,0.0767965367965368,0,0.136363636363636
"UTC","Discharged","UTC~Discharged",24,19,25.5,1,1,1,0.0347222222222222,0,0.0625
"TRIAGE","UTC","TRIAGE~UTC",20.1428571428571,14.5,26,0.850513204935994,0.724137931034483,1,0.163204935993542,0.0434782608695652,0.25
"TRIAGE","RAT","TRIAGE~RAT",20,11.5,25.5,0.696456876456876,0.633333333333333,0.8,0.14520979020979,0.102564102564103,0.2
"Arrived","MAJORS","Arrived~MAJORS",15.125,10.5,19.25,0.230540075679395,0.166666666666667,0.263157894736842,0.307478500171999,0.25,0.35
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",14.7142857142857,12,18,0.32761541863709,0.263157894736842,0.352941176470588,0.249128023679107,0.2,0.307692307692308
"RAT","Discharged","RAT~Discharged",13.25,10.75,16.25,1,1,1,0,0,0
"RESUS","Admitted","RESUS~Admitted",10.2857142857143,6.5,13,0,0,0,0.512222222222222,0.5,0.6
"RAT","TRIAGE","RAT~TRIAGE",9.66666666666667,4.25,12.25,0.977272727272727,0.977272727272727,1,0,0,0
"Arrived","Discharged","Arrived~Discharged",7,7,7,1,1,1,0,0,0
"TRIAGE","MAJORS","TRIAGE~MAJORS",6.625,4,9.25,0.353333333333333,0.333333333333333,0.4,0.281111111111111,0.222222222222222,0.333333333333333
"RAT","UTC","RAT~UTC",4.85714285714286,3.5,6.5,0.855555555555556,0.777777777777778,1,0.194444444444444,0,0.25
"RAT","RESUS","RAT~RESUS",4.33333333333333,2.75,5,0.1625,0.15,0.2125,0.325,0.3,0.425
"OTF","Discharged","OTF~Discharged",4.2,2,6,0,0,0,0.25,0.125,0.375
"Meas post arrival","Arrived","Meas post arrival~Arrived",4,2.5,5.5,1,1,1,0,0,0
"Meas post arrival","UTC","Meas post arrival~UTC",4,3.25,4.75,1,1,1,0.0476190476190476,0,0.0714285714285714
"UTC","OTF","UTC~OTF",4,4,4,0,0,0,0.5,0.5,0.5
