"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Arrived","Meas post arrival","Arrived~Meas post arrival",16.8333333333333,15.25,18.25,0.330921052631579,0.232142857142857,0.428125,1,1,1
"RAT","MAJORS","RAT~MAJORS",15.3333333333333,12.5,17.75,0.388288345641287,0.279545454545455,0.42436974789916,1,1,1
"MAJORS","Admitted","MAJORS~Admitted",14.8333333333333,11.5,15.25,0,0,0,1,1,1
"Meas post arrival","RAT","Meas post arrival~RAT",9.33333333333333,7.25,11.25,0.36739417989418,0.297619047619048,0.5,1,1,1
"MAJORS","Discharged","MAJORS~Discharged",6.5,6,7.75,1,1,1,1,1,1
"Arrived","RAT","Arrived~RAT",5.33333333333333,3.25,7,0.204545454545455,0,0.25,1,1,1
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",3.83333333333333,3.25,4,0.325396825396825,0.25,0.446428571428571,1,1,1
"Arrived","MAJORS","Arrived~MAJORS",3.16666666666667,2.25,4,0.247222222222222,0.0625,0.383333333333333,1,1,1
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",3.16666666666667,1.5,4,0.138888888888889,0,0.25,1,1,1
"RESUS","Admitted","RESUS~Admitted",2.83333333333333,2,3,0,0,0,1,1,1
"TRIAGE","UTC","TRIAGE~UTC",2.75,1.75,3,0.583333333333333,0.25,1,1,1,1
"TRIAGE","RAT","TRIAGE~RAT",2.2,1,3,0.466666666666667,0.333333333333333,0.666666666666667,1,1,1
"Arrived","TRIAGE","Arrived~TRIAGE",2,1,2.5,0.5,0.25,0.75,1,1,1
"Arrived","UTC","Arrived~UTC",2,2,2,0.5,0.5,0.5,1,1,1
"TAF","Discharged","TAF~Discharged",2,1.5,2.5,1,1,1,1,1,1
"MAJORS","RESUS","MAJORS~RESUS",1.66666666666667,1.25,2,0.166666666666667,0,0.375,1,1,1
"RAT","RESUS","RAT~RESUS",1.5,1,2,0,0,0,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",1.5,1.25,1.75,0,0,0,1,1,1
"UTC","Admitted","UTC~Admitted",1.5,1,1.5,0,0,0,1,1,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",1.33333333333333,1,1.75,0.0833333333333333,0,0,1,1,1
"UTC","Discharged","UTC~Discharged",1.33333333333333,1,1.5,1,1,1,1,1,1
"Arrived","RESUS","Arrived~RESUS",1,1,1,0,0,0,1,1,1
"MAJORS","RAT","MAJORS~RAT",1,1,1,0.5,0.25,0.75,1,1,1
"MAJORS","TAF","MAJORS~TAF",1,1,1,1,1,1,1,1,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",1,1,1,0,0,0,1,1,1
"Meas post arrival","RESUS","Meas post arrival~RESUS",1,1,1,0,0,0,1,1,1
"Meas post arrival","TRIAGE Return","Meas post arrival~TRIAGE Return",1,1,1,1,1,1,1,1,1
"Meas post arrival","UTC","Meas post arrival~UTC",1,1,1,1,1,1,1,1,1
"Meas pre arrival","Arrived","Meas pre arrival~Arrived",1,1,1,0.5,0.25,0.75,1,1,1
"RAT","TAF","RAT~TAF",1,1,1,1,1,1,1,1,1
"RAT","TRIAGE","RAT~TRIAGE",1,1,1,0,0,0,1,1,1
"RAT","UTC","RAT~UTC",1,1,1,0.25,0,0.25,1,1,1
"RESUS","Discharged","RESUS~Discharged",1,1,1,1,1,1,1,1,1
"TRIAGE","RESUS","TRIAGE~RESUS",1,1,1,0,0,0,1,1,1
"TRIAGE Return","MAJORS","TRIAGE Return~MAJORS",1,1,1,1,1,1,1,1,1
"TRIAGE Return","RAT","TRIAGE Return~RAT",1,1,1,1,1,1,1,1,1
"UTC","MAJORS","UTC~MAJORS",1,1,1,0.5,0,1,1,1,1
"UTC","RAT","UTC~RAT",1,1,1,0.5,0.25,0.75,1,1,1
"UTC","RESUS","UTC~RESUS",1,1,1,0,0,0,1,1,1
"UTC","TRIAGE Return","UTC~TRIAGE Return",1,1,1,1,1,1,1,1,1
