"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Arrived","Meas post arrival","Arrived~Meas post arrival",211.816666666667,193,232,0.853464405490064,0.831560634000703,0.876126472094214,0.22058561116125,0.15952068702936,0.273699763593381
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",142.633333333333,118.25,163.5,0.906630615308375,0.870169082125604,0.938540031397174,0.173786592057366,0.105693974899273,0.229761904761905
"TRIAGE","Discharged","TRIAGE~Discharged",131.95,103,170,1,1,1,0.0712703648189396,0.0222000937207123,0.0974025974025974
"RAT","MAJORS","RAT~MAJORS",96.2333333333333,90.75,105,0.61257030524525,0.564356435643564,0.652395740905058,0.510138948697002,0.451630434782609,0.577670527670528
"Arrived","TRIAGE","Arrived~TRIAGE",62.3833333333333,51,74.25,0.923814587150832,0.893878718535469,0.957722007722008,0.125087650524623,0.0663934426229508,0.162018047579984
"MAJORS","Discharged","MAJORS~Discharged",61.1333333333333,55,66.25,0.999761904761905,1,1,0.364637284794032,0.266317016317016,0.432451923076923
"UTC","Discharged","UTC~Discharged",57.6166666666667,30,50.25,1,1,1,0.158543749552336,0.0849042709867452,0.215401785714286
"Arrived","RAT","Arrived~RAT",51.9166666666667,44.75,59,0.62630433777646,0.578835616438356,0.660984848484848,0.444610119574675,0.387407235621521,0.52640306122449
"Meas post arrival","RAT","Meas post arrival~RAT",47.5833333333333,32,56,0.721735457590922,0.65874335106383,0.771265078874111,0.369951410026183,0.306350626118068,0.449637919684003
"MAJORS","Admitted","MAJORS~Admitted",43.2,38.75,49,0.00333264806569395,0,0,0.684972942521894,0.628381642512077,0.7625
"TRIAGE","UTC","TRIAGE~UTC",42.8333333333333,15,33.5,0.833751670019847,0.773826979472141,0.90720823798627,0.304441817734729,0.174854651162791,0.434375
"TRIAGE","RAT","TRIAGE~RAT",33.6333333333333,15.75,47.5,0.710479849313559,0.648391089108911,0.774633123689727,0.44183451643726,0.339015151515151,0.531674208144796
"RAT","UTC","RAT~UTC",15.1833333333333,9.75,17.25,0.897752048671811,0.85,1,0.179639968567342,0.113235294117647,0.25
"RAT","TRIAGE","RAT~TRIAGE",10.1166666666667,6,12,0.894180838432269,0.851190476190476,1,0.214069996714448,0,0.333333333333333
"Meas post arrival","Discharged","Meas post arrival~Discharged",9.78947368421053,4,12,0.996773543053035,1,1,0.00776942355889724,0,0
"RESUS","Admitted","RESUS~Admitted",9.41666666666667,7,11,0,0,0,0.528138473726709,0.425595238095238,0.666666666666667
