"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"RAT","MAJORS","RAT~MAJORS",49.3666666666667,44.25,59,0.457367116837722,0.389122596153846,0.528812056737589,1,1,1
"Arrived","Meas post arrival","Arrived~Meas post arrival",47.6333333333333,33.75,63.25,0.570562675828228,0.512053318207601,0.625612745098039,1,1,1
"MAJORS","Admitted","MAJORS~Admitted",30.6779661016949,25.5,36,0.00482188334171537,0,0,1,1,1
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",26.2833333333333,13,37,0.64632489488413,0.543706293706294,0.711229946524064,1,1,1
"Arrived","RAT","Arrived~RAT",23.25,18.75,28,0.421673122571812,0.33,0.5,1,1,1
"MAJORS","Discharged","MAJORS~Discharged",22.9661016949153,16.5,27,0.999293785310734,1,1,1,1,1
"Meas post arrival","RAT","Meas post arrival~RAT",17.5166666666667,10,23.5,0.510117289716483,0.413690476190476,0.610367892976589,1,1,1
"TRIAGE","RAT","TRIAGE~RAT",15,7,21.5,0.539958786583233,0.427051671732523,0.654211956521739,1,1,1
"Meas post arrival","DIAGNOSTICS","Meas post arrival~DIAGNOSTICS",10.5,5.75,15.25,0.325,0.1625,0.4875,1,1,1
"TRIAGE","UTC","TRIAGE~UTC",10.4310344827586,5,11,0.593827718830692,0.458333333333333,0.75,1,1,1
"UTC","Discharged","UTC~Discharged",9.52631578947368,4,11,1,1,1,1,1,1
"TRIAGE","Discharged","TRIAGE~Discharged",8.78947368421053,3,12,1,1,1,1,1,1
"Arrived","TRIAGE","Arrived~TRIAGE",8.33333333333333,3,10,0.561818144429787,0.421428571428571,0.756944444444444,1,1,1
"DIAGNOSTICS","TRIAGE","DIAGNOSTICS~TRIAGE",6,1.5,8.5,0.744444444444444,0.616666666666667,0.866666666666667,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",5.89285714285714,4,7.25,0.227800968872397,0,0.34375,1,1,1
"RESUS","Admitted","RESUS~Admitted",5.08620689655172,4,6,0,0,0,1,1,1
"TRIAGE","DIAGNOSTICS","TRIAGE~DIAGNOSTICS",5,5,5,0.6,0.6,0.6,1,1,1
"DIAGNOSTICS","MAJORS","DIAGNOSTICS~MAJORS",4.5,2.75,6.25,0.75,0.625,0.875,1,1,1
"TAF","Discharged","TAF~Discharged",4.08620689655172,3,5,1,1,1,1,1,1
"MAJORS","TAF","MAJORS~TAF",3.92727272727273,3,5,0.96038961038961,1,1,1,1,1
"UTC","Admitted","UTC~Admitted",3.78947368421053,2,5,0.0043859649122807,0,0,1,1,1
"RAT","UTC","RAT~UTC",3.48,2,4.75,0.711640692640693,0.5,1,1,1,1
"Arrived","RESUS","Arrived~RESUS",3.46428571428571,2,4,0.148313492063492,0,0.25,1,1,1
"RAT","RESUS","RAT~RESUS",3.09090909090909,2,4,0.157012987012987,0,0.333333333333333,1,1,1
"RAT","TRIAGE","RAT~TRIAGE",3.09090909090909,1.75,4,0.718046536796537,0.592857142857143,1,1,1,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",3.02040816326531,2,4,0.61008260447036,0.428571428571429,1,1,1,1
"DIAGNOSTICS","TRIAGE Return","DIAGNOSTICS~TRIAGE Return",2.5,1.75,3.25,0.875,0.8125,0.9375,1,1,1
"MAJORS","RAT","MAJORS~RAT",2.43181818181818,1,3,0.514772727272727,0.1875,1,1,1,1
"MAJORS","RESUS","MAJORS~RESUS",2.33333333333333,1,3,0.105555555555556,0,0,1,1,1
