"from";"to";"weight";"edge"
"Admitted";"Discharged";1310;"Admitted~Discharged"
"Arrival";"TRIAGE";10208;"Arrival~TRIAGE"
"Arrival";"RAT";3514;"Arrival~RAT"
"Arrival";"UTC";536;"Arrival~UTC"
"Arrival";"RESUS";368;"Arrival~RESUS"
"Arrival";"MAJORS";131;"Arrival~MAJORS"
"MAJORS";"Discharged";2308;"MAJORS~Discharged"
"MAJORS";"Admitted";717;"MAJORS~Admitted"
"MAJORS";"RAT";114;"MAJORS~RAT"
"MAJORS";"UTC";62;"MAJORS~UTC"
"RAT";"MAJORS";2783;"RAT~MAJORS"
"RAT";"UTC";740;"RAT~UTC"
"RAT";"TRIAGE";653;"RAT~TRIAGE"
"RAT";"Discharged";493;"RAT~Discharged"
"RAT";"RESUS";121;"RAT~RESUS"
"RAT";"Admitted";95;"RAT~Admitted"
"RESUS";"Admitted";259;"RESUS~Admitted"
"RESUS";"MAJORS";200;"RESUS~MAJORS"
"RESUS";"Discharged";102;"RESUS~Discharged"
"TAF";"Discharged";80;"TAF~Discharged"
"TRIAGE";"Discharged";7597;"TRIAGE~Discharged"
"TRIAGE";"UTC";2029;"TRIAGE~UTC"
"TRIAGE";"RAT";1125;"TRIAGE~RAT"
"TRIAGE";"MAJORS";143;"TRIAGE~MAJORS"
"TRIAGE";"Admitted";119;"TRIAGE~Admitted"
"UTC";"Discharged";2916;"UTC~Discharged"
"UTC";"Admitted";187;"UTC~Admitted"
"UTC";"TRIAGE";181;"UTC~TRIAGE"
