from,to,weight
MAJORS,EMERGENCY_class,58
MAJORS,OTF POOL,34
MAJORS,RAT,1
MAJORS,RESUS,2
MAJORS,TAF,4
OTF POOL,EAU,12
OTF POOL,T01,10
OTF POOL,T03,1
OTF POOL,T08N,1
OTF POOL,T08S,2
OTF POOL,T09N,2
OTF POOL,T09S,4
OTF POOL,T10O,4
OTF POOL,T13S,1
OTF POOL,T14N,1
OTF POOL,T14S,1
OTF POOL,T16N,1
OTF POOL,T16S,3
RAT,EMERGENCY_class,13
RAT,MAJORS,67
RAT,OTF POOL,1
RAT,RESUS,4
RAT,TRIAGE,17
RAT,UTC,5
RESUS,EMERGENCY_class,3
RESUS,MAJORS,2
RESUS,OTF POOL,6
TAF,EMERGENCY_class,4
TRIAGE,EMERGENCY_class,61
TRIAGE,MAJORS,6
TRIAGE,RAT,16
TRIAGE,UTC,10
UTC,EMERGENCY_class,15
UTC,OTF POOL,2
UTC,TRIAGE,1
Waiting,MAJORS,24
Waiting,RAT,90
Waiting,RESUS,5
Waiting,TRIAGE,75
Waiting,UTC,3
