"from","to","edge","weight","pct_disc","pct_breach"
"Arrived","Meas post arrival","Arrived~Meas post arrival",893,0.834266517357223,0.113101903695409
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",489,0.918200408997955,0.0470347648261759
"RAT","MAJORS","RAT~MAJORS",383,0.689295039164491,0.240208877284595
"TRIAGE","Discharged","TRIAGE~Discharged",378,1,0
"MAJORS","Discharged","MAJORS~Discharged",312,1,0.125
"Meas post arrival","RAT","Meas post arrival~RAT",271,0.789667896678967,0.206642066420664
"MAJORS","Admitted","MAJORS~Admitted",207,0,0.429951690821256
"Arrived","RAT","Arrived~RAT",158,0.658227848101266,0.20253164556962
"UTC","Discharged","UTC~Discharged",146,1,0.0273972602739726
"TRIAGE","UTC","TRIAGE~UTC",110,0.918181818181818,0.1
"Arrived","TRIAGE","Arrived~TRIAGE",106,0.924528301886792,0.0566037735849057
"TRIAGE","RAT","TRIAGE~RAT",100,0.78,0.11
"RAT","Discharged","RAT~Discharged",88,1,0
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",73,0.410958904109589,0.26027397260274
"Arrived","MAJORS","Arrived~MAJORS",57,0.403508771929825,0.333333333333333
"RESUS","Admitted","RESUS~Admitted",36,0,0.472222222222222
"TRIAGE","MAJORS","TRIAGE~MAJORS",32,0.5,0.25
"RAT","TRIAGE","RAT~TRIAGE",29,0.96551724137931,0.0344827586206897
"TRIAGE Return","RAT","TRIAGE Return~RAT",26,0.961538461538462,0.0384615384615385
"RAT","TRIAGE Return","RAT~TRIAGE Return",24,0.958333333333333,0
"RESUS","Discharged","RESUS~Discharged",24,1,0.0833333333333333
"RAT","UTC","RAT~UTC",22,0.863636363636364,0.181818181818182
"Meas post arrival","TRIAGE Return","Meas post arrival~TRIAGE Return",21,0.952380952380952,0.0476190476190476
"RAT","RESUS","RAT~RESUS",17,0.352941176470588,0.352941176470588
"Meas post arrival","UTC","Meas post arrival~UTC",16,0.9375,0.0625
"TRIAGE Return","Discharged","TRIAGE Return~Discharged",16,1,0
"Arrived","UTC","Arrived~UTC",15,0.933333333333333,0.133333333333333
"MAJORS","TAF","MAJORS~TAF",15,1,0.333333333333333
"Meas post arrival","RESUS","Meas post arrival~RESUS",15,0.6,0.0666666666666667
"Arrived","RESUS","Arrived~RESUS",14,0.5,0.0714285714285714
"TAF","Discharged","TAF~Discharged",14,1,0.428571428571429
"MAJORS","RAT","MAJORS~RAT",13,0.692307692307692,0.153846153846154
"MAJORS","RESUS","MAJORS~RESUS",13,0.230769230769231,0.769230769230769
"RESUS","MAJORS","RESUS~MAJORS",11,0.636363636363636,0.272727272727273
"UTC","Admitted","UTC~Admitted",11,0,0.545454545454545
"DIAGNOSTICS","Discharged","DIAGNOSTICS~Discharged",10,1,0
"TRIAGE Return","UTC","TRIAGE Return~UTC",9,0.888888888888889,0
"Meas post arrival","DIAGNOSTICS","Meas post arrival~DIAGNOSTICS",8,1,0
"Meas pre arrival","Arrived","Meas pre arrival~Arrived",8,0.5,0.25
"TRIAGE","RESUS","TRIAGE~RESUS",8,0.75,0.125
"UTC","MAJORS","UTC~MAJORS",8,0.75,0.5
"MAJORS","UTC","MAJORS~UTC",6,1,0
"UTC","TRIAGE","UTC~TRIAGE",6,1,0
"UTC","TRIAGE Return","UTC~TRIAGE Return",6,1,0.166666666666667
"RAT","Admitted","RAT~Admitted",4,0,0
"Arrived","DIAGNOSTICS","Arrived~DIAGNOSTICS",3,1,0
"DIAGNOSTICS","UTC","DIAGNOSTICS~UTC",3,1,0
"Arrived","TRIAGE Return","Arrived~TRIAGE Return",2,1,0
"RAT","DIAGNOSTICS","RAT~DIAGNOSTICS",2,1,0
"TAF","MAJORS","TAF~MAJORS",2,1,0
"TRIAGE Return","MAJORS","TRIAGE Return~MAJORS",2,1,0.5
"UTC","RAT","UTC~RAT",2,0.5,1
"DIAGNOSTICS","RAT","DIAGNOSTICS~RAT",1,1,0
"MAJORS","TRIAGE","MAJORS~TRIAGE",1,0,1
"RAT","TAF","RAT~TAF",1,1,1
"TRIAGE","Admitted","TRIAGE~Admitted",1,0,0
"UTC","DIAGNOSTICS","UTC~DIAGNOSTICS",1,1,0
"UTC","RESUS","UTC~RESUS",1,0,1
