"date","from","to","edge","weight","pct_disc","pct_breach"
2020-02-21,"Arrived","MAJORS","Arrived~MAJORS",1,1,1
2020-02-21,"Arrived","Meas post arrival","Arrived~Meas post arrival",209,0.870813397129187,0.22488038277512
2020-02-21,"Arrived","RAT","Arrived~RAT",54,0.62962962962963,0.592592592592593
2020-02-21,"Arrived","RESUS","Arrived~RESUS",12,0.166666666666667,0.75
2020-02-21,"Arrived","TRIAGE","Arrived~TRIAGE",45,0.933333333333333,0.0222222222222222
2020-02-21,"Arrived","UTC","Arrived~UTC",10,1,0.1
2020-02-21,"MAJORS","Admitted","MAJORS~Admitted",44,0,0.75
2020-02-21,"MAJORS","Discharged","MAJORS~Discharged",55,1,0.490909090909091
2020-02-21,"MAJORS","RAT","MAJORS~RAT",6,1,0.333333333333333
2020-02-21,"MAJORS","RESUS","MAJORS~RESUS",3,0,0.666666666666667
2020-02-21,"MAJORS","TAF","MAJORS~TAF",8,1,0.875
2020-02-21,"MAJORS","UTC","MAJORS~UTC",1,1,0
2020-02-21,"Meas post arrival","Discharged","Meas post arrival~Discharged",15,1,0
2020-02-21,"Meas post arrival","RAT","Meas post arrival~RAT",52,0.769230769230769,0.423076923076923
2020-02-21,"Meas post arrival","RESUS","Meas post arrival~RESUS",2,1,0.5
2020-02-21,"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",131,0.893129770992366,0.16793893129771
2020-02-21,"Meas post arrival","UTC","Meas post arrival~UTC",7,1,0.142857142857143
2020-02-21,"RAT","Admitted","RAT~Admitted",2,0,0
2020-02-21,"RAT","Discharged","RAT~Discharged",13,1,0.0769230769230769
2020-02-21,"RAT","MAJORS","RAT~MAJORS",100,0.67,0.63
2020-02-21,"RAT","RESUS","RAT~RESUS",3,0,0.333333333333333
2020-02-21,"RAT","TAF","RAT~TAF",1,1,0
2020-02-21,"RAT","TRIAGE","RAT~TRIAGE",12,0.916666666666667,0.416666666666667
2020-02-21,"RAT","TRIAGE Return","RAT~TRIAGE Return",4,1,0
2020-02-21,"RAT","UTC","RAT~UTC",19,0.947368421052632,0.210526315789474
2020-02-21,"RESUS","Admitted","RESUS~Admitted",10,0,0.5
2020-02-21,"RESUS","MAJORS","RESUS~MAJORS",13,0.307692307692308,0.538461538461538
2020-02-21,"RESUS","RAT","RESUS~RAT",1,0,1
2020-02-21,"RESUS","TAF","RESUS~TAF",1,1,1
2020-02-21,"RESUS","UTC","RESUS~UTC",1,1,0
2020-02-21,"TAF","Discharged","TAF~Discharged",7,1,0.714285714285714
2020-02-21,"TAF","RESUS","TAF~RESUS",1,1,1
2020-02-21,"TRIAGE","Admitted","TRIAGE~Admitted",2,0,0
2020-02-21,"TRIAGE","Discharged","TRIAGE~Discharged",134,1,0.0298507462686567
2020-02-21,"TRIAGE","MAJORS","TRIAGE~MAJORS",3,0.333333333333333,0.666666666666667
2020-02-21,"TRIAGE","RAT","TRIAGE~RAT",33,0.818181818181818,0.454545454545455
2020-02-21,"TRIAGE","RESUS","TRIAGE~RESUS",2,0,0
2020-02-21,"TRIAGE","UTC","TRIAGE~UTC",26,0.692307692307692,0.423076923076923
2020-02-21,"TRIAGE Return","Admitted","TRIAGE Return~Admitted",1,0,1
2020-02-21,"TRIAGE Return","Discharged","TRIAGE Return~Discharged",6,1,0
2020-02-21,"TRIAGE Return","UTC","TRIAGE Return~UTC",1,1,1
2020-02-21,"UTC","Admitted","UTC~Admitted",8,0,1
2020-02-21,"UTC","Discharged","UTC~Discharged",45,1,0.177777777777778
2020-02-21,"UTC","MAJORS","UTC~MAJORS",3,0.333333333333333,1
2020-02-21,"UTC","RAT","UTC~RAT",2,1,1
2020-02-21,"UTC","RESUS","UTC~RESUS",1,1,0
2020-02-21,"UTC","TRIAGE","UTC~TRIAGE",6,0.833333333333333,0.166666666666667
2020-02-21,"UTC","TRIAGE Return","UTC~TRIAGE Return",3,0.666666666666667,0.666666666666667
