"from","to","edge","weight","pct_disc","pct_breach"
"Arrived","Meas post arrival","Arrived~Meas post arrival",12709,0.852860177826737,0.224880006294752
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",8558,0.901378826828698,0.18427202617434
"TRIAGE","Discharged","TRIAGE~Discharged",7917,1,0.0632815460401667
"RAT","MAJORS","RAT~MAJORS",5774,0.611014894354001,0.512989262209906
"Arrived","TRIAGE","Arrived~TRIAGE",3743,0.918781725888325,0.133582687683676
"MAJORS","Discharged","MAJORS~Discharged",3668,0.999727371864776,0.369411123227917
"UTC","Discharged","UTC~Discharged",3457,1,0.157072606306046
"Arrived","RAT","Arrived~RAT",3115,0.623756019261637,0.447833065810594
"Meas post arrival","RAT","Meas post arrival~RAT",2855,0.726444833625219,0.368126094570928
"MAJORS","Admitted","MAJORS~Admitted",2592,0.00347222222222222,0.698302469135803
"TRIAGE","UTC","TRIAGE~UTC",2570,0.873540856031128,0.235408560311284
"TRIAGE","RAT","TRIAGE~RAT",2018,0.706144697720515,0.438553022794846
"RAT","UTC","RAT~UTC",911,0.902305159165752,0.190998902305159
"RAT","TRIAGE","RAT~TRIAGE",607,0.896210873146623,0.224052718286656
"RESUS","Admitted","RESUS~Admitted",565,0,0.52212389380531
"Meas post arrival","Discharged","Meas post arrival~Discharged",558,0.996415770609319,0.00537634408602151
"RESUS","MAJORS","RESUS~MAJORS",530,0.332075471698113,0.622641509433962
"RAT","Discharged","RAT~Discharged",504,1,0.0218253968253968
"UTC","Admitted","UTC~Admitted",419,0.00715990453460621,0.515513126491647
"Arrived","RESUS","Arrived~RESUS",415,0.250602409638554,0.467469879518072
"TAF","Discharged","TAF~Discharged",317,1,0.747634069400631
"Meas post arrival","UTC","Meas post arrival~UTC",310,0.9,0.116129032258065
"RAT","RESUS","RAT~RESUS",292,0.253424657534247,0.582191780821918
"TRIAGE","MAJORS","TRIAGE~MAJORS",279,0.734767025089606,0.530465949820789
"Arrived","UTC","Arrived~UTC",272,0.941176470588235,0.0588235294117647
"MAJORS","TAF","MAJORS~TAF",265,0.969811320754717,0.815094339622642
"Meas post arrival","RESUS","Meas post arrival~RESUS",264,0.321969696969697,0.439393939393939
"RAT","TRIAGE Return","RAT~TRIAGE Return",236,0.885593220338983,0.241525423728814
"MAJORS","RAT","MAJORS~RAT",222,0.59009009009009,0.481981981981982
"TRIAGE Return","Discharged","TRIAGE Return~Discharged",206,1,0.121359223300971
"TRIAGE","Admitted","TRIAGE~Admitted",178,0.0168539325842697,0.320224719101124
"MAJORS","RESUS","MAJORS~RESUS",152,0.125,0.828947368421053
"RESUS","Discharged","RESUS~Discharged",134,1,0.238805970149254
"UTC","TRIAGE","UTC~TRIAGE",129,0.906976744186046,0.186046511627907
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",118,0.830508474576271,0.415254237288136
"RAT","Admitted","RAT~Admitted",108,0.0185185185185185,0.0462962962962963
"TRIAGE Return","UTC","TRIAGE Return~UTC",106,0.820754716981132,0.358490566037736
"UTC","MAJORS","UTC~MAJORS",104,0.605769230769231,0.644230769230769
"Arrived","MAJORS","Arrived~MAJORS",101,0.633663366336634,0.386138613861386
"Meas pre arrival","Arrived","Meas pre arrival~Arrived",100,0.36,0.45
"TRIAGE","RESUS","TRIAGE~RESUS",95,0.442105263157895,0.536842105263158
"MAJORS","UTC","MAJORS~UTC",92,0.815217391304348,0.315217391304348
"RAT","TAF","RAT~TAF",75,0.986666666666667,0.6
"UTC","TRIAGE Return","UTC~TRIAGE Return",74,0.864864864864865,0.216216216216216
"OTF","Discharged","OTF~Discharged",70,0,0.885714285714286
"UTC","RAT","UTC~RAT",57,0.807017543859649,0.403508771929825
"Meas post arrival","DIAGNOSTICS","Meas post arrival~DIAGNOSTICS",37,0.783783783783784,0.567567567567568
"MAJORS","OTF","MAJORS~OTF",36,0,0.916666666666667
"UTC","WAITING ROOM","UTC~WAITING ROOM",30,0.933333333333333,0.1
"DIAGNOSTICS","TRIAGE","DIAGNOSTICS~TRIAGE",24,0.791666666666667,0.75
"WAITING ROOM","TRIAGE Return","WAITING ROOM~TRIAGE Return",23,0.956521739130435,0.130434782608696
"RESUS","RAT","RESUS~RAT",22,0.5,0.590909090909091
"TAF","MAJORS","TAF~MAJORS",22,0.772727272727273,0.863636363636364
"TRIAGE Return","MAJORS","TRIAGE Return~MAJORS",22,0.681818181818182,0.590909090909091
"DIAGNOSTICS","UTC","DIAGNOSTICS~UTC",17,0.941176470588235,0.294117647058824
"MAJORS","TRIAGE","MAJORS~TRIAGE",17,0.764705882352941,0.411764705882353
"DIAGNOSTICS","Discharged","DIAGNOSTICS~Discharged",16,1,0.0625
"TRIAGE Return","Admitted","TRIAGE Return~Admitted",16,0.0625,0.5625
"UTC","OTF","UTC~OTF",16,0,0.875
"DIAGNOSTICS","MAJORS","DIAGNOSTICS~MAJORS",15,0.666666666666667,0.6
"TRIAGE","DIAGNOSTICS","TRIAGE~DIAGNOSTICS",13,0.769230769230769,0.384615384615385
"TRIAGE","OTF","TRIAGE~OTF",13,0,1
"UTC","DIAGNOSTICS","UTC~DIAGNOSTICS",11,0.909090909090909,0.454545454545455
