from,to,weight
BSNQ,DFNQ,8
BSNQ,INPATIENT_class,56
BSNQ,MVNQ,1
BSNQ,NFNQ,2
BSNQ,NHNNTHR,4
CCAC,INPATIENT_class,1
COB,INPATIENT_class,1
DFNQ,BSNQ,51
DFNQ,EAU,2
DFNQ,EMERGENCY_class,3
DFNQ,INPATIENT_class,701
DFNQ,JYNQ,12
DFNQ,MFNQ,30
DFNQ,MINQ,3
DFNQ,MVNQ,12
DFNQ,NCNQ,4
DFNQ,NFNQ,45
DFNQ,NHNNTHR,8
DFNQ,RBNQ,5
DFNQ,SINQ,5
DFNQ,T01,3
DFNQ,T08N,1
DFNQ,T10S,3
DFNQ,T14S,1
DFNQ,UCLHHOME,3
EAU,T01,6
EAU,T10S,1
EAU,T14N,1
JYNQ,DFNQ,1
JYNQ,INPATIENT_class,17
JYNQ,NFNQ,4
JYNQ,RBNQ,1
JYNQ,T01,1
JYNQ,T13S,1
MFNQ,DFNQ,10
MFNQ,INPATIENT_class,41
MFNQ,NCNQ,1
MFNQ,NFNQ,1
MFNQ,NHNNTHR,3
MFNQ,SINQ,3
MFNQ,T01,1
MFNQ,UCLHHOME,1
MINQ,BSNQ,4
MINQ,DFNQ,19
MINQ,INPATIENT_class,6
MINQ,JYNQ,3
MINQ,MFNQ,2
MINQ,MVNQ,1
MINQ,NCNQ,1
MINQ,NFNQ,3
MINQ,SINQ,3
MINQ,T03,1
MVNQ,DFNQ,4
MVNQ,INPATIENT_class,14
MVNQ,JYNQ,1
MVNQ,T10O,1
NCNQ,BSNQ,6
NCNQ,COB,1
NCNQ,DFNQ,705
NCNQ,EAU,1
NCNQ,INPATIENT_class,3
NCNQ,JYNQ,2
NCNQ,MFNQ,11
NCNQ,MINQ,26
NCNQ,MVNQ,3
NCNQ,NFNQ,171
NCNQ,NHNNTHR,5
NCNQ,RBNQ,1
NCNQ,SINQ,39
NCNQ,T01,5
NCNQ,T13S,1
NCNQ,T14S,1
NCNQ,UCLHHOME,1
NFNQ,DFNQ,116
NFNQ,EMERGENCY_class,1
NFNQ,INPATIENT_class,89
NFNQ,JYNQ,7
NFNQ,MFNQ,5
NFNQ,MINQ,3
NFNQ,MVNQ,2
NFNQ,NCNQ,1
NFNQ,NHNNTHR,1
NFNQ,RBNQ,2
NFNQ,SINQ,1
NFNQ,T13S,1
NHNNTHR,BSNQ,4
NHNNTHR,DFNQ,1
NHNNTHR,MFNQ,3
NHNNTHR,MINQ,4
NHNNTHR,NCNQ,1
NHNNTHR,SINQ,25
RBNQ,INPATIENT_class,7
RBNQ,MFNQ,1
RBNQ,MINQ,1
SINQ,BSNQ,6
SINQ,DFNQ,26
SINQ,INPATIENT_class,9
SINQ,MFNQ,8
SINQ,MINQ,6
SINQ,MVNQ,1
SINQ,NFNQ,3
SINQ,NHNNTHR,17
T01,INPATIENT_class,8
T01,T07S,1
T01,T08N,4
T01,T09N,4
T01,T09S,3
T01,T10O,2
T01,T10S,3
T02THR,T03,2
T02THR,T06H,2
T02THR,T10S,1
T03,T06H,1
T03,T09N,1
T03,T09S,1
T03,T10O,1
T06G,INPATIENT_class,1
T06H,INPATIENT_class,2
T06H,T02THR,1
T06H,T06G,1
T06H,TPL,1
T07S,INPATIENT_class,1
T08N,INPATIENT_class,4
T08N,T09S,1
T09C,T02THR,1
T09N,DFNQ,1
T09N,INPATIENT_class,2
T09N,T02THR,1
T09N,T14N,1
T09N,TPL,2
T09S,INPATIENT_class,3
T09S,T10S,2
T09S,TPL,2
T09S,UCLHHOME,1
T10O,INPATIENT_class,3
T10O,T01,1
T10O,T03,1
T10O,T10S,1
T10S,INPATIENT_class,6
T10S,T02THR,1
T10S,T09S,2
T10S,T10O,1
T10S,TPL,1
T13S,INPATIENT_class,4
T14N,INPATIENT_class,2
T14N,T13S,1
T14S,CCAC,1
T14S,DFNQ,1
TPL,INPATIENT_class,6
UCLHHOME,INPATIENT_class,5
UCLHHOME,MFNQ,1
